               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10319,            0.047229,            0.054355,                   0,                   0,                   0,                   0,                   0,           0.0034559,                   0,            0.070588,            0.003268,            0.003268
                   1,            0.081646,            0.038604,            0.038094,                   0,                   0,                   0,                   0,                   0,           0.0010111,                   0,            0.040575,           0.0065882,           0.0065882
                   2,             0.07964,            0.032188,            0.031714,                   0,                   0,                   0,                   0,                   0,          0.00023049,                   0,            0.010549,           0.0098953,           0.0098953
                   3,            0.072938,            0.032214,            0.027576,                   0,                   0,                   0,                   0,                   0,          0.00011396,                   0,           0.0099406,           0.0099406,           0.0099406
                   4,            0.067159,            0.032634,            0.024185,                   0,                   0,                   0,                   0,                   0,          0.00011921,                   0,           0.0099406,           0.0099406,           0.0099406
                   5,            0.062625,            0.031851,            0.020951,                   0,                   0,                   0,                   0,                   0,          1.8239e-05,                   0,           0.0099208,           0.0099208,           0.0099208
                   6,            0.058783,            0.030648,            0.018437,                   0,                   0,                   0,                   0,                   0,          3.8147e-06,                   0,            0.009901,            0.009901,            0.009901
                   7,            0.057613,            0.029884,             0.01709,                   0,                   0,                   0,                   0,                   0,          1.1325e-05,                   0,           0.0098812,           0.0098812,           0.0098812
                   8,            0.056184,            0.029382,            0.015471,                   0,                   0,                   0,                   0,                   0,          2.5511e-05,                   0,           0.0098614,           0.0098614,           0.0098614
                   9,            0.053427,            0.030662,            0.015004,                   0,                   0,                   0,                   0,                   0,          1.5318e-05,                   0,           0.0098416,           0.0098416,           0.0098416
                  10,            0.052824,            0.030443,            0.013876,                   0,                   0,                   0,                   0,                   0,          4.3094e-05,                   0,           0.0098218,           0.0098218,           0.0098218
                  11,            0.052246,            0.030608,            0.013293,                   0,                   0,                   0,                   0,                   0,          1.2577e-05,                   0,            0.009802,            0.009802,            0.009802
                  12,            0.051123,            0.029551,            0.012215,                   0,                   0,                   0,                   0,                   0,          2.2709e-05,                   0,           0.0097822,           0.0097822,           0.0097822
                  13,            0.050723,            0.029448,            0.012215,                   0,                   0,                   0,                   0,                   0,          3.7611e-05,                   0,           0.0097624,           0.0097624,           0.0097624
